index,node1,node2,predicted laybel,probability laybel,node1-name,node2-name
96509,6705,3853,1,0.9601045534492867,p_25734,a_67681
97974,7919,3853,1,0.9601045534492867,p_66012,a_67681
148619,8005,3853,1,0.9601045534492867,p_69061,a_67681
154329,6292,3853,1,0.9601045534492867,p_18822,a_67681
184044,7095,3853,1,0.9601045534492867,p_34357,a_67681
282576,5910,3853,1,0.9601045534492867,p_12956,a_67681
291879,6824,3853,1,0.9601045534492867,p_27411,a_67681
293204,7053,3853,1,0.9599365257411273,p_32521,a_67681
350514,6444,3853,1,0.9601365257411274,p_219,a_67681
452153,7250,3853,1,0.9601045534492867,p_40821,a_67681
503919,6448,3853,1,0.9601365257411274,p_21950,a_67681
518843,6490,3853,1,0.9601045534492867,p_22546,a_67681
631113,6662,3853,1,0.9601365257411274,p_24809,a_67681
643503,6801,3853,1,0.9601045534492867,p_26966,a_67681
780068,6549,3853,1,0.9601045534492867,p_23170,a_67681
801055,3853,6062,1,0.9601045534492867,a_67681,p_14210
801078,3853,6169,1,0.9601045534492867,a_67681,p_16037
801165,3853,6506,1,0.9601045534492867,a_67681,p_22805
801191,3853,6310,1,0.9591684097990983,a_67681,p_190
801259,3853,7130,1,0.9601045534492867,a_67681,p_35810
801264,3853,5754,1,0.9599045534492867,a_67681,p_102397
801274,3853,7436,1,0.9599045534492867,a_67681,p_47981
801290,3853,6320,1,0.9601045534492867,a_67681,p_19159
801297,3853,7820,1,0.9591684097990983,a_67681,p_61993
801311,3853,8260,1,0.9601045534492867,a_67681,p_76642
801365,3853,7987,1,0.9601045534492867,a_67681,p_68300
801480,3853,6666,1,0.9601045534492867,a_67681,p_24890
801519,3853,7490,1,0.9601045534492867,a_67681,p_51681
801535,3853,7632,1,0.9591364375072579,a_67681,p_5612
801640,3853,7927,1,0.9599365257411273,a_67681,p_66244
801726,3853,7326,1,0.9601045534492867,a_67681,p_43912
801729,3853,7103,1,0.9601045534492867,a_67681,p_34621
801734,3853,8143,1,0.9599365257411273,a_67681,p_72008
801810,3853,6450,1,0.9601045534492867,a_67681,p_21972
801842,3853,8053,1,0.9591364375072579,a_67681,p_70095
