"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"1",6095,10378,"cooking",16,"INFLUENCE",25,10,"True","2021-07-12",0,5,7,"True","True","False"
"2",6095,10378,"cooking",12,"INFLUENCE",25,10,"True","2021-07-12",0,5,7,"True","True","False"
"17",4116,11620,"style",20,"REACH",25,10,"True","2021-03-22",0,7,6,"True","True","False"
"28",9065,28107,"style",33,"INFLUENCE",54,10,"True","2021-10-24",0,5,6,"True","True","False"
"35",7889,25617,"clothing",6,"REACH",16,10,"True","2021-09-19",0,2,2,"True","True","False"
"47",9153,27471,"Financial",19,"REACH",23,10,"True","2021-10-24",0,6,6,"True","True","False"
"53",6264,22215,"Family",2,"INFLUENCE",25,10,"True","2021-07-18",0,4,4,"True","True","False"
"54",6264,22215,"Family",15,"INFLUENCE",25,10,"True","2021-07-18",0,4,4,"True","True","False"
"68",4964,3349,"Home",33,"INFLUENCE",5,10,"True","2021-05-19",0,8,8,"True","True","False"
"86",2602,7726,"Technology",7,"REACH",5,10,"True","2020-12-15",0,8,8,"True","True","False"
"93",2304,6824,"Photography",1,"REACH",5,10,"True","2020-12-03",0,7,7,"True","True","False"
"101",3909,6583,"car",6,"REACH",25,10,"True","2021-03-04",0,7,8,"True","True","False"
"104",5227,2869,"Education",11,"INFLUENCE",5,10,"True","2021-06-03",0,7,7,"True","True","False"
"113",6444,22591,"Education",3,"INFLUENCE",25,10,"True","2021-07-25",0,5,6,"True","True","False"
"123",2785,5617,"Home",25,"REACH",5,10,"True","2020-12-27",0,8,8,"True","True","False"
"125",2518,4184,"Sport",20,"REACH",5,10,"True","2020-12-13",0,7,7,"True","True","False"
"126",3710,8204,"cooking",12,"INFLUENCE",5,10,"True","2021-02-17",0,7,7,"True","True","False"
"131",2906,3349,"Education",31,"REACH",5,10,"True","2021-01-02",0,6,6,"True","True","False"
"148",3490,1436,"style",5,"REACH",5,10,"True","2021-02-04",0,7,7,"True","True","False"
"153",3359,9070,"fashion",6,"REACH",5,10,"True","2021-01-28",0,6,6,"True","True","False"
"159",2909,7873,"fashion",6,"INFLUENCE",5,10,"True","2021-01-06",0,6,6,"True","True","False"
"165",3010,7169,"Sport",20,"INFLUENCE",5,10,"True","2021-01-21",0,7,7,"True","True","False"
"168",2966,3044,"fashion",33,"REACH",5,10,"True","2021-01-05",0,7,7,"True","True","False"
"176",3371,8657,"cooking",12,"REACH",5,10,"True","2021-01-30",0,8,6,"True","True","False"
"183",5965,16345,"comedy",8,"REACH",20,10,"True","2021-07-05",0,5,5,"True","True","False"
"186",2980,7657,"cooking",16,"INFLUENCE",5,10,"True","2021-01-05",0,7,7,"True","True","False"
"187",2979,8722,"comedy",12,"INFLUENCE",5,10,"True","2021-01-05",0,7,7,"True","True","False"
"189",3430,2656,"fashion",12,"REACH",5,10,"True","2021-02-01",0,8,8,"True","True","False"
"192",3540,7550,"Home",9,"REACH",5,10,"True","2021-02-07",0,7,7,"True","True","False"
"195",6975,22403,"Education",25,"REACH",23,10,"True","2021-08-12",0,7,7,"True","True","False"
"196",3471,4660,"fashion",1,"REACH",5,10,"True","2021-02-03",0,7,7,"True","True","False"
"198",3453,974,"car",24,"REACH",5,10,"True","2021-02-02",0,7,7,"True","True","False"
"200",3543,3202,"Education",26,"REACH",5,10,"True","2021-02-07",0,6,6,"True","True","False"
"201",3983,11442,"Education",8,"REACH",5,10,"True","2021-03-10",0,7,7,"True","True","False"
"207",4371,13325,"fashion",6,"INFLUENCE",20,10,"True","2021-04-16",0,6,5,"True","True","False"
"237",3800,2248,"fashion",12,"REACH",25,10,"True","2021-02-23",0,4,8,"True","True","False"
"241",3834,7316,"a trip",7,"REACH",25,10,"True","2021-02-25",0,5,6,"True","True","False"
"246",3464,392,"Education",9,"INFLUENCE",5,10,"True","2021-02-03",0,6,7,"True","True","False"
"247",3755,6022,"the movie",31,"REACH",25,10,"True","2021-03-04",0,6,7,"True","True","False"
"250",4479,7160,"fashion",3,"INFLUENCE",20,10,"True","2021-04-22",0,6,5,"True","True","False"
"252",4359,2768,"Education",17,"REACH",5,10,"True","2021-04-15",0,7,3,"True","True","True"
"255",3947,8764,"Family",33,"REACH",28,10,"True","2021-03-09",0,5,6,"True","True","False"
"258",3678,392,"Education",9,"REACH",5,10,"True","2021-02-26",0,8,8,"True","True","False"
"261",3866,10315,"Sport",15,"REACH",23,10,"True","2021-03-01",0,4,5,"True","True","False"
"271",4427,13050,"Home",28,"REACH",28,10,"True","2021-04-20",0,6,5,"True","True","False"
"273",3951,11353,"comedy",31,"REACH",25,10,"True","2021-03-08",0,7,7,"True","True","False"
"275",3719,5953,"Information",15,"REACH",23,10,"True","2021-02-17",0,3,4,"True","True","False"
"276",3882,11064,"Family",33,"INFLUENCE",5,10,"True","2021-03-02",0,6,5,"True","True","False"
"283",3702,10154,"style",15,"INFLUENCE",5,10,"True","2021-02-16",0,8,8,"True","True","False"
"284",3883,2248,"style",12,"REACH",5,10,"True","2021-03-02",0,5,6,"True","True","False"
"285",3869,8129,"Financial",31,"REACH",25,10,"True","2021-03-03",0,5,7,"True","True","False"
"289",3599,8722,"style",6,"REACH",5,10,"True","2021-02-09",0,7,7,"True","True","False"
"297",4392,13325,"fashion",6,"INFLUENCE",20,10,"True","2021-04-18",0,6,5,"True","True","False"
"298",4239,11723,"Sport",20,"REACH",25,10,"True","2021-04-06",0,5,6,"True","True","False"
"303",4131,9651,"fashion",6,"INFLUENCE",16,10,"True","2021-03-23",0,5,4,"True","True","False"
