name,type,color,_igraph_index,id
a_10000,FALSE,red,0,0
a_100047,FALSE,red,1,1
a_100083,FALSE,red,2,2
a_100116,FALSE,red,3,3
a_100165,FALSE,red,4,4
a_100192,FALSE,red,5,5
a_100210,FALSE,red,6,6
a_100225,FALSE,red,7,7
a_100227,FALSE,red,8,8
a_100244,FALSE,red,9,9
a_100258,FALSE,red,10,10
a_10026,FALSE,red,11,11
a_100316,FALSE,red,12,12
a_100322,FALSE,red,13,13
a_100335,FALSE,red,14,14
a_100354,FALSE,red,15,15
a_100364,FALSE,red,16,16
a_100442,FALSE,red,17,17
a_100451,FALSE,red,18,18
a_100462,FALSE,red,19,19
a_100472,FALSE,red,20,20
a_100473,FALSE,red,21,21
a_100494,FALSE,red,22,22
a_100517,FALSE,red,23,23
a_100538,FALSE,red,24,24
a_100554,FALSE,red,25,25
a_100607,FALSE,red,26,26
a_10064,FALSE,red,27,27
a_10066,FALSE,red,28,28
a_100667,FALSE,red,29,29
a_10067,FALSE,red,30,30
a_100679,FALSE,red,31,31
a_100685,FALSE,red,32,32
a_100726,FALSE,red,33,33
a_100752,FALSE,red,34,34
a_100800,FALSE,red,35,35
a_100826,FALSE,red,36,36
a_1009,FALSE,red,37,37
a_100904,FALSE,red,38,38
a_100907,FALSE,red,39,39
a_100915,FALSE,red,40,40
a_100938,FALSE,red,41,41
a_100942,FALSE,red,42,42
a_100983,FALSE,red,43,43
a_10103,FALSE,red,44,44
a_101033,FALSE,red,45,45
a_10106,FALSE,red,46,46
a_101069,FALSE,red,47,47
a_101084,FALSE,red,48,48
a_101117,FALSE,red,49,49
a_101133,FALSE,red,50,50
a_101190,FALSE,red,51,51
a_101202,FALSE,red,52,52
a_101297,FALSE,red,53,53
a_1013,FALSE,red,54,54
a_101332,FALSE,red,55,55
a_101338,FALSE,red,56,56
a_101339,FALSE,red,57,57
a_10134,FALSE,red,58,58
a_101352,FALSE,red,59,59
a_101367,FALSE,red,60,60
a_101413,FALSE,red,61,61
a_101428,FALSE,red,62,62
a_10143,FALSE,red,63,63
a_1015,FALSE,red,64,64
a_10154,FALSE,red,65,65
a_101569,FALSE,red,66,66
a_101588,FALSE,red,67,67
a_101633,FALSE,red,68,68
a_101640,FALSE,red,69,69
a_101737,FALSE,red,70,70
a_10174,FALSE,red,71,71
a_101747,FALSE,red,72,72
a_101802,FALSE,red,73,73
a_10186,FALSE,red,74,74
a_101862,FALSE,red,75,75
a_10187,FALSE,red,76,76
a_101900,FALSE,red,77,77
a_10209,FALSE,red,78,78
a_10239,FALSE,red,79,79
a_10240,FALSE,red,80,80
a_10242,FALSE,red,81,81
a_10243,FALSE,red,82,82
a_10268,FALSE,red,83,83
a_10287,FALSE,red,84,84
a_1029,FALSE,red,85,85
a_10297,FALSE,red,86,86
a_10300,FALSE,red,87,87
a_10304,FALSE,red,88,88
a_1031,FALSE,red,89,89
a_10315,FALSE,red,90,90
a_10378,FALSE,red,91,91
a_10381,FALSE,red,92,92
a_10384,FALSE,red,93,93
a_10385,FALSE,red,94,94
a_10415,FALSE,red,95,95
a_10467,FALSE,red,96,96
a_1048,FALSE,red,97,97
a_1049,FALSE,red,98,98
a_10506,FALSE,red,99,99
a_1051,FALSE,red,100,100
a_10531,FALSE,red,101,101
a_10538,FALSE,red,102,102
a_10541,FALSE,red,103,103
a_10572,FALSE,red,104,104
a_10581,FALSE,red,105,105
a_10586,FALSE,red,106,106
a_10601,FALSE,red,107,107
a_10628,FALSE,red,108,108
a_10634,FALSE,red,109,109
a_1064,FALSE,red,110,110
a_10641,FALSE,red,111,111
a_10649,FALSE,red,112,112
a_10656,FALSE,red,113,113
a_10670,FALSE,red,114,114
a_10732,FALSE,red,115,115
a_1075,FALSE,red,116,116
a_10755,FALSE,red,117,117
a_10759,FALSE,red,118,118
a_10783,FALSE,red,119,119
a_10804,FALSE,red,120,120
a_10859,FALSE,red,121,121
a_10866,FALSE,red,122,122
a_10875,FALSE,red,123,123
a_10896,FALSE,red,124,124
a_10925,FALSE,red,125,125
a_10949,FALSE,red,126,126
a_10953,FALSE,red,127,127
a_10964,FALSE,red,128,128
a_10974,FALSE,red,129,129
a_10978,FALSE,red,130,130
a_11021,FALSE,red,131,131
a_11051,FALSE,red,132,132
a_11061,FALSE,red,133,133
a_11063,FALSE,red,134,134
a_11065,FALSE,red,135,135
a_11068,FALSE,red,136,136
a_11079,FALSE,red,137,137
a_1108,FALSE,red,138,138
a_11089,FALSE,red,139,139
a_11092,FALSE,red,140,140
a_11101,FALSE,red,141,141
a_11103,FALSE,red,142,142
a_11115,FALSE,red,143,143
a_11131,FALSE,red,144,144
a_11142,FALSE,red,145,145
a_11150,FALSE,red,146,146
a_11152,FALSE,red,147,147
a_11154,FALSE,red,148,148
a_1116,FALSE,red,149,149
a_11167,FALSE,red,150,150
a_1118,FALSE,red,151,151
a_11181,FALSE,red,152,152
a_11225,FALSE,red,153,153
a_11229,FALSE,red,154,154
a_11277,FALSE,red,155,155
a_11281,FALSE,red,156,156
a_11293,FALSE,red,157,157
a_11297,FALSE,red,158,158
a_11299,FALSE,red,159,159
a_11300,FALSE,red,160,160
a_11314,FALSE,red,161,161
a_11324,FALSE,red,162,162
a_11331,FALSE,red,163,163
a_11333,FALSE,red,164,164
a_11353,FALSE,red,165,165
a_11370,FALSE,red,166,166
a_11383,FALSE,red,167,167
a_11391,FALSE,red,168,168
a_11413,FALSE,red,169,169
a_11422,FALSE,red,170,170
a_11442,FALSE,red,171,171
a_11444,FALSE,red,172,172
a_11463,FALSE,red,173,173
a_11479,FALSE,red,174,174
a_11491,FALSE,red,175,175
a_11527,FALSE,red,176,176
a_11542,FALSE,red,177,177
a_11547,FALSE,red,178,178
a_11564,FALSE,red,179,179
a_11569,FALSE,red,180,180
a_11578,FALSE,red,181,181
a_11581,FALSE,red,182,182
a_11593,FALSE,red,183,183
a_11618,FALSE,red,184,184
a_11620,FALSE,red,185,185
a_11628,FALSE,red,186,186
a_11630,FALSE,red,187,187
a_11632,FALSE,red,188,188
a_11635,FALSE,red,189,189
a_1165,FALSE,red,190,190
a_11657,FALSE,red,191,191
a_11666,FALSE,red,192,192
a_11671,FALSE,red,193,193
a_11694,FALSE,red,194,194
a_11708,FALSE,red,195,195
a_11723,FALSE,red,196,196
a_11728,FALSE,red,197,197
a_11731,FALSE,red,198,198
a_11739,FALSE,red,199,199
a_1174,FALSE,red,200,200
a_11743,FALSE,red,201,201
a_11763,FALSE,red,202,202
a_11782,FALSE,red,203,203
a_11801,FALSE,red,204,204
a_11821,FALSE,red,205,205
a_11828,FALSE,red,206,206
a_11835,FALSE,red,207,207
a_11836,FALSE,red,208,208
a_11863,FALSE,red,209,209
a_11874,FALSE,red,210,210
a_11911,FALSE,red,211,211
a_11914,FALSE,red,212,212
a_11927,FALSE,red,213,213
a_11946,FALSE,red,214,214
a_1197,FALSE,red,215,215
a_11983,FALSE,red,216,216
a_11993,FALSE,red,217,217
a_12065,FALSE,red,218,218
a_12093,FALSE,red,219,219
a_12127,FALSE,red,220,220
a_1213,FALSE,red,221,221
a_1214,FALSE,red,222,222
a_1216,FALSE,red,223,223
a_12321,FALSE,red,224,224
