"","ID","Media.App.Media...Media...Publisher.ID","Total.Likes","Total.Views","Price","Total.Interactions","Total.Reach","Publisher.Price","Media.Plan.Price","Has.Paid.Partnership","Media.App.Media.Plan...Media.Plan...Content.Type","Media.App.Media.Plan...Media.Plan...Campaign.Type","Media.App.Media.Plan...Media.Plan...Is.Vip","Media.App.Media.Category...Media.Category...ID","Media.App.Media...Media...Is.Influencer","Media.App.Media...Media...Is.Private","Media.App.Media...Media...Is.Celebrity","Media.App.Media.Category...Media.Category...Title"
"16015",2968544,43689,70,0,625000,75,1520,625000,625000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"16016",2968544,43689,70,0,625000,75,1520,625000,625000,"False","POST","REACH","False",83,"False","False","False","University"
"27715",2891822,43689,614,0,625000,939,12091,625000,625000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"27716",2891822,43689,614,0,625000,939,12091,625000,625000,"False","POST","REACH","False",83,"False","False","False","University"
"35969",2717514,43689,165,0,625000,321,3240,625000,625000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"35970",2717514,43689,165,0,625000,321,3240,625000,625000,"False","POST","REACH","False",83,"False","False","False","University"
"61026",1186555,43689,517,0,545000,30,0,545000,545000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"61027",1186555,43689,517,0,545000,30,0,545000,545000,"False","POST","REACH","False",83,"False","False","False","University"
"80553",2512056,43689,405,0,675000,426,6458,675000,675000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"80554",2512056,43689,405,0,675000,426,6458,675000,675000,"False","POST","REACH","False",83,"False","False","False","University"
"107978",2635138,43689,101,0,625000,108,3751,625000,625000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"107979",2635138,43689,101,0,625000,108,3751,625000,625000,"False","POST","REACH","False",83,"False","False","False","University"
"109140",2668770,43689,227,0,675000,497,3612,675000,675000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"109141",2668770,43689,227,0,675000,497,3612,675000,675000,"False","POST","REACH","False",83,"False","False","False","University"
"110560",2886651,43689,200,0,625000,207,3040,625000,625000,"False","POST","REACH","False",15,"False","False","False","Interior-Design-Home"
"110561",2886651,43689,200,0,625000,207,3040,625000,625000,"False","POST","REACH","False",83,"False","False","False","University"
